key,2,3,4
#,LookupTable,Text,GroupTitle
offset,8,0,4
int32,str,str,str
100,@,【語言】,yuyan.
101,,請使用定型文翻譯系統。,qingshiyongdingxingwenfanyixitong
102,,日語,riyu
103,,英語,yingyu
104,,法語,fayu
105,,德語,deyu
106,,你會說日語嗎？,nihuishuoriyuma?
107,,你會說英語嗎？,nihuishuoyingyuma?
108,,你會說法語嗎？,nihuishuofayuma?
109,,你會說德語嗎？,nihuishuodeyuma?
110,,我不會說英語。,wobuhuishuoyingyu
111,,我不會說日語。,wobuhuishuoriyu
112,,我不會說法語。,wobuhuishuofayu
113,,我不會說德語。,wobuhuishuodeyu
114,,請聽著。,qingtingzhe
115,,能聽見嗎？,nengtingjianma?
116,,我會說一點。,wohuishuoyidian
117,,我能看懂一點。,wonengkandongyidian
118,,請用簡單的詞彙。,qingyongjiandandecihui
119,,請不要使用省略語。,qingbuyaoshiyongshenglveyu
120,,請稍等，我需要些時間來回覆。,"qingshaodeng,woxuyaoxieshijianlaihuifu"
121,,你的母語是什麼？,nidemuyushishenme?
200,@,【問候語】,wenhouyu.
201,,很高興見到你。,hengaoxingjiandaoni
202,,早上好！,zaoshanghao
203,,你好！,nihao
204,,晚上好！,wanshanghao
205,,晚安！,wanan
206,,再會。,zaihui
207,,今天很高興。,jintianhengaoxing
208,,回頭見！,huitoujian
209,,有時間再一起玩！,youshijianzaiyiqiwan
210,,我回來了！,wohuilaile
211,,歡迎回來。,huanyinghuilai
212,,恭喜！,gongxi
213,,幹得好！,gandehao
214,,加油！,jiayou
215,,太好了！,taihaole
216,,謝謝你。,xiexieni
217,,不客氣。,bukeqi
218,,多保重。,duobaozhong
219,,對不起。,duibuqi
220,,請原諒我。,qingyuanliangwo
221,,很遺憾。,henyihan
222,,打擾一下……,daraoyixia
223,,祝你旅途愉快。,zhunilvtuyukuai
224,,我是第一次來這裡。,woshidiyicilaizheli
225,,我很期待！,wohenqidai
226,,打得好！辛苦了！,dadehaoxinkule
227,,請多關照！,qingduoguanzhao
228,,我得走了，非常感謝各位。,wodeizoulefeichangganxiegewei
229,,我們玩得輕鬆點吧！,womenwandeqingsongdianba
230,,我會盡力的！,wohuijinlide
231,,一起加油吧！,yiqijiayouba
232,,好好期待吧！,haohaoqidaiba
233,,冷靜一點吧！,lengjingyidianba
300,@,【提問】,tiwen.
301,,誰？,shui?
302,,哪個？,nage?
303,,怎樣？,zenyang?
304,,什麼？,shenme?
305,,什麼時候？,shenmeshihou?
306,,多少？,duoshao?
307,,在哪？,zaina?
308,,為什麼？,weishenme?
309,,怎麼了？,zenmele?
310,,我們要去哪？,womenyaoquna?
311,,你可以嗎？,nikeyima?
312,,需要幫忙嗎？,xuyaobangmangma?
313,,我們做什麼任務？,womenzuoshenmerenwu?
314,,你能做什麼任務？,ninengzuoshenmerenwu?
315,,你有嗎？,niyouma?
316,,現在你在使用什麼武器？,xianzainizaishiyongshenmewuqi?
317,,你還能使用其他什麼職業？,nihainengshiyongqitashenmezhiye?
318,,你還能擔任其他什麼職能？,nihainengdanrenqitashenmezhineng?
319,,你設定好了嗎？,nishezhihaolema?
320,,用什麼戰術？,yongshenmezhanshu?
321,,我能加你為好友嗎？,wonengjianiweihaoyouma?
322,,能休息下嗎？,nengxiuxixiama?
323,,稍微修理一下吧？,shaoweixiuliyixiaba?
324,,能幫我修理一下嗎？,nengbangwoxiuliyixiama?
325,,需要我幫你鑲嵌魔晶石嗎？,xuyaowobangnixiangqianmojingshima?
326,,能幫我鑲嵌下魔晶石嗎？,nengbangwoxiangqianxiamojingshima?
327,,你要加入我的小隊嗎？,niyaojiaruwodexiaoduima?
328,,能把我加入你的小隊嗎？,nengbawojiarunidexiaoduima?
329,,我們把小隊解散了怎麼樣？,womenbaxiaoduijiesanlezenmeyang?
330,,來加入我們的通訊貝嗎？,laijiaruwomendetongxunbeima?
331,,能讓我加入通訊貝嗎？,nengrangwojiarutongxunbeima?
332,,來加入我們的部隊嗎？,laijiaruwomendebuduima?
333,,能讓我加入部隊嗎？,nengrangwojiarubuduima?
334,,你在幹什麼？,nizaiganshenme?
335,,來進行卡片對局嗎？,laijinxingkapianduijuma?
336,,我們改變一下規則好嗎？,womengaibianyixiaguizehaoma?
337,,來進行大賽對局嗎？,laijinxingdasaiduijuma?
338,,魔力夠用嗎？,moligouyongma?
339,,有什麼不明白的地方嗎？,youshenmebumingbaidedifangma?
340,,看到了嗎？,kandaolema?
341,,知道怎麼打嗎？,zhidaozenmedama?
342,,能說說打法嗎？,nengshuoshuodafama?
343,,要來共同騎乘嗎？,yaolaigongtongqichengma?
344,,能讓我共同騎乘嗎？,nengrangwogongtongqichengma?
400,@,【回答】,huida.
401,,我不知道。,wobuzhidao
402,,不，謝了。,buxiele
403,,好的，拜託了。,haodebaituole
404,,拜託您了。,baituoninle
405,,明白。,mingbai
406,,抱歉，我現在很忙。,baoqianwoxianzaihenmang
407,,我現在想獨自一人活動。,woxianzaixiangduziyirenhuodong
408,,我不知道該怎麼回答這個問題。,wobuzhidaogaizenmehuidazhegewenti
409,,原來如此。,yuanlairuci
410,,謝謝你的提案，不過還是算了。,xiexienidetianbuguohaishisuanle
411,,聽起來有意思。,tingqilaiyouyisi
412,,嗯……,en
413,,啊？！,a?!
414,,真的？,zhende?
415,,唔。,wu
416,,一會還有別的事。,yihuihaiyoubiedeshi
417,,再來一局。,zailaiyiju
418,,結束對局吧。,jieshuduijuba
419,,我想暫停一會兒。,woxiangzantingyihuier
420,,有可能。,youkeneng
500,@,【理由】,liyou.
501,,正在詠唱。,zhengzaiyongchang
502,,該工作了。,gaigongzuole
503,,我約了人。,woyueleren
504,,我困了。,wokunle
505,,我累了。,woleile
506,,有事要辦，先走一步！,youshiyaobanxianzouyibu
507,,身體有點不舒服。,shentiyoudianbushufu
508,,我不是很有興趣。,wobushihenyouxingqu
509,,我有興趣。,woyouxingqu
510,,我現在正在任務裡。,woxianzaizhengzairenwuli
511,,正在戰鬥中！,zhengzaizhandouzhong
512,,我想掙錢。,woxiangzhengqian
513,,我不記得了。,wobujidele
514,,我不知道。,wobuzhidao
515,,剛用掉了……,gangyongdiaole
516,,我想掙經驗值。,woxiangzhengjingyanzhi
517,,我錯了。,wocuole
518,,已經有人邀請我了。,yijingyourenyaoqingwole
519,,我已經有一個了。,woyijingyouyigele
520,,招募已經結束了。,zhaomuyijingjieshule
521,,我正在做準備。,wozhengzaizuozhunbei
522,,現在無法脫身。,xianzaiwufatuoshen
523,,我在和人聊天。,wozaiherenliaotian
524,,我沒有在用鍵盤。,womeiyouzaiyongjianpan
525,,我正在查資料。,wozhengzaichaziliao
600,@,【交易】,jiaoyi.
601,,能賣給我嗎？,nengmaigeiwoma?
602,,能幫我個忙嗎？,nengbangwogemangma?
603,,能便宜些嗎？,nengpianyixiema?
604,,要購買嗎？,yaogoumaima?
605,,要出售嗎？,yaochushouma?
606,,能交換嗎？,nengjiaohuanma?
607,,你需要嗎？,nixuyaoma?
608,,你能製作嗎？,ninengzhizuoma?
609,,你有嗎？,niyouma?
610,,需要什麼必要的素材？,xuyaoshenmebiyaodesucai?
611,,沒錢！,meiqian
612,,我沒有那個道具。,womeiyounagedaoju
613,,我沒什麼能給你的。,womeishenmenenggeinide
614,,給你這個。,geinizhege
615,,請。,qing
616,,報酬：,baochou
617,,價格：,jiage
618,,發送物品,fasongwupin
700,@,【組織】,zuzhi.
701,,尋找同伴中。,xunzhaotongbanzhong
702,,請集合。,qingjihe
703,,組隊怎麼樣？,zuduizenmeyang?
704,,你是一個人嗎？,nishiyigerenma?
705,,有空位嗎？,youkongweima?
706,,請邀請我。,qingyaoqingwo
707,,請讓我加入。,qingrangwojiaru
708,,誰是隊長？,shuishiduizhang?
709,,就一會兒也可以。,jiuyihuieryekeyi
710,,我們小隊滿了。,womenxiaoduimanle
711,,請幫個忙。,qingbanggemang
712,,小隊解散。,xiaoduijiesan
